block	emission	endAmount
3585000	0.6	18699464.2
3590000	0.6	18702464.2
3595000	0.6	18705464.2
3600000	0.6	18708464.2
3605000	0.6	18711464.2
3610000	0.6	18714464.2
3615000	0.6	18717464.2
3620000	0.6	18720464.2
3625000	0.6	18723464.2
3630000	0.6	18726464.2
3635000	0.6	18729464.2
3640000	0.6	18732464.2
3645000	0.6	18735464.2
3650000	0.6	18738464.2
3655000	0.6	18741464.2
3660000	0.6	18744464.2
3665000	0.6	18747464.2
3670000	0.6	18750464.2
3675000	0.6	18753464.2
3680000	0.6	18756464.2
3685000	0.6	18759464.2
3690000	0.6	18762464.2
3695000	0.6	18765464.2
3700000	0.6	18768464.2
3705000	0.6	18771464.2
3710000	0.6	18774464.2
3715000	0.6	18777464.2
3720000	0.6	18780464.2
3725000	0.6	18783464.2
3730000	0.6	18786464.2
3735000	0.6	18789464.2
3740000	0.6	18792464.2
3745000	0.6	18795464.2
3750000	0.6	18798464.2
3755000	0.6	18801464.2
3760000	0.6	18804464.2
3765000	0.6	18807464.2
3770000	0.6	18810464.2
3775000	0.6	18813464.2
3780000	0.6	18816464.2
3785000	0.6	18819464.2
3790000	0.6	18822464.2
3795000	0.6	18825464.2
3800000	0.6	18828464.2
3805000	0.6	18831464.2
3810000	0.6	18834464.2
3815000	0.6	18837464.2
3820000	0.6	18840464.2
3825000	0.6	18843464.2
3830000	0.6	18846464.2
3835000	0.6	18849464.2
3840000	0.6	18852464.2
3845000	0.6	18855464.2
3850000	0.6	18858464.2
3855000	0.6	18861464.2
3860000	0.6	18864464.2
3865000	0.6	18867464.2
3870000	0.6	18870464.2
3875000	0.6	18873464.2
3880000	0.6	18876464.2
3885000	0.6	18879464.2
3890000	0.6	18882464.2
3895000	0.6	18885464.2
3900000	0.6	18888464.2
3905000	0.6	18891464.2
3910000	0.6	18894464.2
3915000	0.6	18897464.2
3920000	0.6	18900464.2
3925000	0.6	18903464.2
3930000	0.6	18906464.2
3935000	0.6	18909464.2
3940000	0.6	18912464.2
3945000	0.6	18915464.2
3950000	0.6	18918464.2
3955000	0.6	18921464.2
3960000	0.6	18924464.2
3965000	0.6	18927464.2
3970000	0.6	18930464.2
